mz,id,ion,example,formula
852.47915,PS 40:9,[M+Na]+,"GPSer(20:4(7E,10E,13E,16E)/20:5(5Z,8Z,11Z,14Z,17Z))",C46H72NO10P
852.5519,PC 40:8,[M+Na]+,"GPCho(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C48H80NO8P
852.55433,PC 42:11,[M+H]+,"GPCho(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C50H78NO8P
852.57308,PS 39:2,[M+Na]+,"GPSer(18:2(9E,10E)/21:0)",C45H84NO10P
852.57545,PS 41:5,[M+H]+,"GPSer(19:0/22:5(7Z,10Z,13Z,16Z,19Z))",C47H82NO10P
852.64584,PC 39:1,[M+Na]+,GPCho(16:1(7Z)/23:0),C47H92NO8P
852.64584,PE 42:1,[M+Na]+,GPEtn(20:1(11Z)/22:0),C47H92NO8P
852.6482,PC 41:4,[M+H]+,"GPCho(20:4(5Z,8Z,11Z,14Z)/21:0)",C49H90NO8P
852.6482,PE 44:4,[M+H]+,"GPEtn(18:2(2E,4E)/26:2(5Z,9E))",C49H90NO8P
852.65647,MGDG 40:4,[M+NH4]+,"MGDG(20:3(5Z,8Z,11Z)/20:1(13Z))",C49H86O10
852.68221,plasmenyl-PC 40:0,[M+Na]+,PC(P-18:0/22:0),C48H96NO7P
852.68221,plasmenyl-PE 43:0,[M+Na]+,PE(P-18:0/25:0),C48H96NO7P
852.69285,MGDG 42:4,[M+NH4-CO]+,"MGDG(20:0/22:4(7Z,10Z,13Z,16Z))",C51H90O10
852.80153,TG 50:0,[M+NH4]+,TG(19:0/12:0/19:0),C53H102O6
852.83789,DG 51:0,[M+NH4]+,DG(25:0/26:0/0:0),C54H106O5
853.49252,DGDG 28:3,[M+Na]+,"DGDG(10:0/18:3(6Z,9Z,12Z))",C43H74O15
853.56993,PA 44:4,[M+Na2-H]+,"GPA(18:2(9E,12E)/26:2(5Z,9E))",C47H85O8P
853.57235,PA 46:7,[M+Na]+,"GPA(20:5(5Z,8Z,11Z,14Z,17Z)/26:2(5Z,9E))",C49H83O8P
853.58057,MGDG 40:6,[M+Na]+,"MGDG(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(11E))",C49H82O10
853.66622,PA 45:0,[M+Na]+,GPA(24:0/21:0),C48H95O8P
853.71382,SM 43:0,[M-H+Na]+,SM(d19:0/24:0),C48H100N2O6P
853.72565,TG 50:2,[M+Na]+,TG(16:0/16:0/18:2),C53H98O6
853.78317,TG 51:1,[M+Li]+,TG(16:0/17:0/18:1),C54H102O6
853.81953,DG 52:1,[M+Li]+,DG(26:0/26:1/0:0),C55H106O5
854.49477,PS 40:8,[M+Na]+,"GPSer(20:5(5Z,8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z))",C46H74NO10P
854.4972,PS 42:11,[M+H]+,"GPSer(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C48H72NO10P
